interaction,role,leaf,parameters,required_parameters,at_least_one_of,negative_case_count
HLAinteractionRoot.HLAmanager.HLAfederate.HLAservice.HLAresignFederationExecution,HLAservice,HLAresignFederationExecution,HLAfederate;HLAresignAction,HLAfederate;HLAresignAction,,5
HLAinteractionRoot.HLAmanager.HLAfederate.HLAservice.HLAsubscribeInteractionClass,HLAservice,HLAsubscribeInteractionClass,HLAfederate;HLAinteractionClass;HLAactive,HLAfederate;HLAinteractionClass,,7
HLAinteractionRoot.HLAmanager.HLAfederate.HLAservice.HLAsubscribeObjectClassAttributes,HLAservice,HLAsubscribeObjectClassAttributes,HLAfederate;HLAobjectClass;HLAattributeList;HLAactive,HLAfederate;HLAobjectClass;HLAattributeList,,9
HLAinteractionRoot.HLAmanager.HLAfederate.HLAservice.HLAsynchronizationPointAchieved,HLAservice,HLAsynchronizationPointAchieved,HLAfederate;HLAlabel,HLAfederate;HLAlabel,,5
HLAinteractionRoot.HLAmanager.HLAfederate.HLAservice.HLAtimeAdvanceRequest,HLAservice,HLAtimeAdvanceRequest,HLAfederate;HLAtimeStamp,HLAfederate;HLAtimeStamp,,6
HLAinteractionRoot.HLAmanager.HLAfederate.HLAservice.HLAtimeAdvanceRequestAvailable,HLAservice,HLAtimeAdvanceRequestAvailable,HLAfederate;HLAtimeStamp,HLAfederate;HLAtimeStamp,,6
HLAinteractionRoot.HLAmanager.HLAfederate.HLAservice.HLAunconditionalAttributeOwnershipDivestiture,HLAservice,HLAunconditionalAttributeOwnershipDivestiture,HLAfederate;HLAobjectInstance;HLAattributeList,HLAfederate;HLAobjectInstance;HLAattributeList,,8
HLAinteractionRoot.HLAmanager.HLAfederate.HLAservice.HLAunpublishInteractionClass,HLAservice,HLAunpublishInteractionClass,HLAfederate;HLAinteractionClass,HLAfederate;HLAinteractionClass,,6
HLAinteractionRoot.HLAmanager.HLAfederate.HLAservice.HLAunpublishObjectClassAttributes,HLAservice,HLAunpublishObjectClassAttributes,HLAfederate;HLAobjectClass;HLAattributeList,HLAfederate;HLAobjectClass,,7
HLAinteractionRoot.HLAmanager.HLAfederate.HLAservice.HLAunsubscribeInteractionClass,HLAservice,HLAunsubscribeInteractionClass,HLAfederate;HLAinteractionClass,HLAfederate;HLAinteractionClass,,6
HLAinteractionRoot.HLAmanager.HLAfederate.HLAservice.HLAunsubscribeObjectClassAttributes,HLAservice,HLAunsubscribeObjectClassAttributes,HLAfederate;HLAobjectClass;HLAattributeList,HLAfederate;HLAobjectClass;HLAattributeList,,8
HLAinteractionRoot.HLAmanager.HLAfederation.HLAadjust.HLAsetSwitches,HLAadjust,HLAsetSwitches,HLAautoProvide,,HLAautoProvide,3
HLAinteractionRoot.HLAmanager.HLAfederation.HLArequest.HLArequestFOMmoduleData,HLArequest,HLArequestFOMmoduleData,HLAFOMmoduleIndicator,HLAFOMmoduleIndicator,,2
HLAinteractionRoot.HLAmanager.HLAfederation.HLArequest.HLArequestMIMdata,HLArequest,HLArequestMIMdata,,,,1
HLAinteractionRoot.HLAmanager.HLAfederation.HLArequest.HLArequestSynchronizationPointStatus,HLArequest,HLArequestSynchronizationPointStatus,,,,1
HLAinteractionRoot.HLAmanager.HLAfederation.HLArequest.HLArequestSynchronizationPoints,HLArequest,HLArequestSynchronizationPoints,,,,1
