interface,direction,clause,service_title,method_name,overload_index,return_type,arguments,exceptions,signature
FederateAmbassador,RTI-initiated callback,6.15,Remove Object Instance,removeObjectInstance,2,void,ObjectInstanceHandle theObject; byte[] userSuppliedTag; OrderType sentOrdering; LogicalTime theTime; OrderType receivedOrdering; SupplementalRemoveInfo removeInfo,FederateInternalError,"void removeObjectInstance(ObjectInstanceHandle theObject, byte[] userSuppliedTag, OrderType sentOrdering, LogicalTime theTime, OrderType receivedOrdering, SupplementalRemoveInfo removeInfo) throws FederateInternalError"
FederateAmbassador,RTI-initiated callback,6.15,Remove Object Instance,removeObjectInstance,3,void,ObjectInstanceHandle theObject; byte[] userSuppliedTag; OrderType sentOrdering; LogicalTime theTime; OrderType receivedOrdering; MessageRetractionHandle retractionHandle; SupplementalRemoveInfo removeInfo,FederateInternalError,"void removeObjectInstance(ObjectInstanceHandle theObject, byte[] userSuppliedTag, OrderType sentOrdering, LogicalTime theTime, OrderType receivedOrdering, MessageRetractionHandle retractionHandle, SupplementalRemoveInfo removeInfo) throws FederateInternalError"
FederateAmbassador,RTI-initiated callback,6.17,Attributes In Scope,attributesInScope,1,void,ObjectInstanceHandle theObject; AttributeHandleSet theAttributes,FederateInternalError,"void attributesInScope(ObjectInstanceHandle theObject, AttributeHandleSet theAttributes) throws FederateInternalError"
FederateAmbassador,RTI-initiated callback,6.18,Attributes Out Of Scope,attributesOutOfScope,1,void,ObjectInstanceHandle theObject; AttributeHandleSet theAttributes,FederateInternalError,"void attributesOutOfScope(ObjectInstanceHandle theObject, AttributeHandleSet theAttributes) throws FederateInternalError"
FederateAmbassador,RTI-initiated callback,6.20,Provide Attribute Value Update,provideAttributeValueUpdate,1,void,ObjectInstanceHandle theObject; AttributeHandleSet theAttributes; byte[] userSuppliedTag,FederateInternalError,"void provideAttributeValueUpdate(ObjectInstanceHandle theObject, AttributeHandleSet theAttributes, byte[] userSuppliedTag) throws FederateInternalError"
FederateAmbassador,RTI-initiated callback,6.21,Turn Updates On For Object Instance,turnUpdatesOnForObjectInstance,1,void,ObjectInstanceHandle theObject; AttributeHandleSet theAttributes,FederateInternalError,"void turnUpdatesOnForObjectInstance(ObjectInstanceHandle theObject, AttributeHandleSet theAttributes) throws FederateInternalError"
FederateAmbassador,RTI-initiated callback,6.21,Turn Updates On For Object Instance,turnUpdatesOnForObjectInstance,2,void,ObjectInstanceHandle theObject; AttributeHandleSet theAttributes; String updateRateDesignator,FederateInternalError,"void turnUpdatesOnForObjectInstance(ObjectInstanceHandle theObject, AttributeHandleSet theAttributes, String updateRateDesignator) throws FederateInternalError"
FederateAmbassador,RTI-initiated callback,6.22,Turn Updates Off For Object Instance,turnUpdatesOffForObjectInstance,1,void,ObjectInstanceHandle theObject; AttributeHandleSet theAttributes,FederateInternalError,"void turnUpdatesOffForObjectInstance(ObjectInstanceHandle theObject, AttributeHandleSet theAttributes) throws FederateInternalError"
FederateAmbassador,RTI-initiated callback,6.24,Confirm Attribute Transportation Type Change,confirmAttributeTransportationTypeChange,1,void,ObjectInstanceHandle theObject; AttributeHandleSet theAttributes; TransportationTypeHandle theTransportation,FederateInternalError,"void confirmAttributeTransportationTypeChange(ObjectInstanceHandle theObject, AttributeHandleSet theAttributes, TransportationTypeHandle theTransportation) throws FederateInternalError"
FederateAmbassador,RTI-initiated callback,6.26,Report Attribute Transportation Type,reportAttributeTransportationType,1,void,ObjectInstanceHandle theObject; AttributeHandle theAttribute; TransportationTypeHandle theTransportation,FederateInternalError,"void reportAttributeTransportationType(ObjectInstanceHandle theObject, AttributeHandle theAttribute, TransportationTypeHandle theTransportation) throws FederateInternalError"
